person,condition,trial,id,found,item_class,x,y,trial_p
1,feat_rot,22,8,14,2,0.266,0.226,4
1,feat_rot,22,11,15,2,0.261,0.364,4
1,feat_rot,22,14,16,2,0.095,0.37,4
1,feat_rot,22,4,17,2,0.798,0.463,4
1,feat_rot,22,6,18,2,0.702,0.548,4
1,feat_rot,22,12,19,2,0.383,0.506,4
1,feat_rot,22,19,20,2,0.167,0.592,4
1,feat_rot,22,18,21,2,0.09,0.548,4
1,feat_rot,22,23,22,2,0.065,0.684,4
1,feat_rot,22,22,23,2,0,0.633,4
1,feat_rot,22,17,24,2,0.483,0.76,4
1,feat_rot,23,23,1,1,0.336,0.859,5
1,feat_rot,23,22,2,1,0.277,0.786,5
1,feat_rot,23,16,3,1,0.569,0.78,5
1,feat_rot,23,12,4,1,0.657,0.722,5
1,feat_rot,23,19,5,1,0,0.6,5
1,feat_rot,23,9,6,1,0.655,0.568,5
1,feat_rot,23,8,7,1,0.589,0.46,5
1,feat_rot,23,13,8,1,0.202,0.386,5
1,feat_rot,23,10,9,1,0.182,0.284,5
